STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,LABELS,Labels,TIME_PERIOD,Time period,OBS_VALUE,Observation value,NOTE_QUARTERS_2,Note quarter 2,NOTE_QUARTERS_1,Note quarter 1,NOTE_LABELS_2,Note Labels 2,NOTE_LABELS_1,Note Labels 1,OBS_STATUS,Observation status,DECIMALS,Decimals
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),1998-Q2,,4021.056,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),1998-Q3,,4078.927,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),1998-Q4,,4098.42,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),1999-Q1,,4177.347,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),1999-Q2,,4216.619,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),1999-Q3,,4359.124,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),1999-Q4,,4297.722,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2000-Q1,,4384.741,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2000-Q2,,4431.192,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2000-Q3,,4478.218,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2000-Q4,,4560.627,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2001-Q1,,4591.083,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2001-Q2,,4627.785,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2001-Q3,,4660.65,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2001-Q4,,4733.968,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2002-Q1,,4795.818,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2002-Q2,,4873.399,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2002-Q3,,4886.28,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2002-Q4,,4923.411,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2003-Q1,,4897.887,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2003-Q2,,4919.73,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2003-Q3,,5022.401,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2003-Q4,,5108.762,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2004-Q1,,5010.758,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2004-Q2,,5037.761,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2004-Q3,,5071.984,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2004-Q4,,5177.755,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2005-Q1,,5024.689,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2005-Q2,,5035.716,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2005-Q3,,5113.56,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2005-Q4,,5228.746,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2006-Q1,,5237.006,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2006-Q2,,5260.684,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2006-Q3,,5187.753,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2006-Q4,,5309.885,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2007-Q1,,5279.907,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2007-Q2,,5314.896,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2007-Q3,,5323.79,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2007-Q4,,5453.169,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2008-Q1,,5343.144,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2008-Q2,,5509.95,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2008-Q3,,5454.27,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2008-Q4,,5624.438,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2009-Q1,,5579.021,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2009-Q2,,5638.529,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2009-Q3,,5639.806,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2009-Q4,,5732.69,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2010-Q1,,5816.361,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2010-Q2,,5837.153,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2010-Q3,,5813.703,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2010-Q4,,5905.089,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2011-Q1,,5849.948,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2011-Q2,,5945.126,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2011-Q3,,5956.371,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2011-Q4,,6091.74,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2012-Q1,,6084.982,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2012-Q2,,6149.097,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2012-Q3,,6051.441,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2012-Q4,,6244.11,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2013-Q1,,6114.931,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2013-Q2,,6200.082,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2013-Q3,,6185.442,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2013-Q4,,6476.916,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2014-Q1,,6206.2,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2014-Q2,,6361.353,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2014-Q3,,6359.226,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2014-Q4,,6649.07,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2015-Q1,,6388.554,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2015-Q2,,6567.071,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2015-Q3,,6515.408,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2015-Q4,,6789.377,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2016-Q1,,6575.527,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2016-Q2,,6791.948,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2016-Q3,,6620.643,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2016-Q4,,6959.571,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2017-Q1,,6780.083,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2017-Q2,,6979.079,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2017-Q3,,6893.154,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2017-Q4,,7190.565,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2018-Q1,,7098.621,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2018-Q2,,7206.409,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2018-Q3,,7137.152,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2018-Q4,,7465.205,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2019-Q1,,7165.816,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2019-Q2,,7395.468,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2019-Q3,,7359.18,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2019-Q4,,7659.149,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2020-Q1,,7205.29,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2020-Q2,,6702.243,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2020-Q3,,7413.406,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2020-Q4,,7514.381,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2021-Q1,,7420.223,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2021-Q2,,7811.223,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2021-Q3,,7944.183,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2021-Q4,,8230.784,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2022-Q1,,8020.146,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2022-Q2,,8255.181,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2022-Q3,,8387.039,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2022-Q4,,8525.631,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2023-Q1,,8172.121,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2023-Q2,,8432.92,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2023-Q3,,8469.553,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2023-Q4,,8715.988,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2024-Q1,,8285.984,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2024-Q2,,8636.617,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2024-Q3,,8748.685,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2024-Q4,,9007.364,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r12,Final consumption expenditure (P3),2025-Q1,,8494.206,,,,,,,,,,p,Provisional,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1995-Q1,,2620.629,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1995-Q2,,2599.68,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1995-Q3,,2545.581,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1995-Q4,,2578.761,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1996-Q1,,2950.882,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1996-Q2,,2930.172,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1996-Q3,,2905.315,,,,,,,,,,,,1,One
DATAFLOW,LU1:DF_E2501(1.0),Main Aggregates: three approaches(chain-linked volumes; 2015),I,Q,Quarterly,r25,Imports of services (incld Clux + cif/fob) (TRP72),1996-Q4,,3092.19,,,,,,,,,,,,1,One
