quarter,employment_monetary,employment_productivity,output_monetary,output_productivity,vacancies_monetary,vacancies_productivity,separation_monetary,separation_productivity,tightness_monetary,tightness_productivity,job_finding_monetary,job_finding_productivity
16,0.0031953000674938906,0.004407975064613821,0.003994125084367363,0.008815950129227642,0.0007334134469594839,0.00044225544324339095,-0.0015976500337469453,-0.0013223925193841463,-0.0018228266070356288,-0.0030841246084476657,-0.00127597862492494,-0.0021588872259133657
17,0.002716005057369807,0.003967177558152439,0.0033950063217122587,0.007934355116304878,0.0005867307575675872,0.0003538043545947128,-0.0013580025286849034,-0.0011901532674457316,-0.0015860732883282585,-0.002819937691927239,-0.0011102513018297808,-0.001973956384349067
18,0.002308604298764336,0.003570459802337195,0.0028857553734554196,0.00714091960467439,0.00046938460605406977,0.00028304348367577025,-0.001154302149382168,-0.0010711379407011585,-0.001377498832957399,-0.0025733243581939863,-0.0009642491830701793,-0.0018013270507357903
19,0.0019623136539496855,0.0032134138221034756,0.0024528920674371066,0.006426827644206951,0.00037550768484325586,0.0002264347869406162,-0.0009811568269748427,-0.0009640241466310427,-0.0011943432383164927,-0.0023442962707421644,-0.0008360402668215448,-0.001641007389519515
20,0.0016679666058572325,0.0028920724398931283,0.0020849582573215404,0.005784144879786257,0.00030040614787460473,0.000181147829552493,-0.0008339833029286163,-0.0008676217319679385,-0.0010339671368111813,-0.0021325101223620096,-0.0007237769957678269,-0.0014927570856534066
21,0.0014177716149786476,0.0026028651959038155,0.0017722145187233094,0.005205730391807631,0.00024032491829968378,0.0001449182636419944,-0.0007088858074893238,-0.0007808595587711447,-0.0008938923736832344,-0.001937373893081058,-0.000625724661578264,-0.0013561617251567405
22,0.0012051058727318505,0.002342578676313434,0.001506382340914813,0.004685157352626868,0.00019225993463974704,0.00011593461091359553,-0.0006025529363659252,-0.0007027736028940302,-0.0007718247635457333,-0.0017581283301371519,-0.0005402773344820133,-0.0012306898310960061
23,0.0010243399918220728,0.002108320808682091,0.0012804249897775911,0.004216641617364182,0.00015380794771179766,9.274768873087643e-05,-0.0005121699959110364,-0.0006324962426046272,-0.0006656640457458606,-0.0015939089582147964,-0.0004659648320221024,-0.0011157362707503574
24,0.0008706889930487618,0.0018974887278138818,0.0010883612413109525,0.0037949774556277635,0.00012304635816943812,7.419815098470115e-05,-0.0004353444965243809,-0.0005692466183441645,-0.0005735048362695713,-0.0014437928312664042,-0.0004014533853886999,-0.0010106549818864829
25,0.0007400856440914475,0.0017077398550324936,0.0009251070551143096,0.003415479710064987,9.84370865355505e-05,5.935852078776092e-05,-0.00037004282204572376,-0.0005123219565097481,-0.0004936314287376076,-0.001306833363238234,-0.0003455420001163253,-0.0009147833542667638
26,0.0006290727974777304,0.0015369658695292443,0.0007863409968471631,0.0030739317390584887,7.87496692284404e-05,4.748681663020874e-05,-0.0003145363987388652,-0.00046108976085877326,-0.00042450856875374395,-0.0011820858789931869,-0.00029715599812762077,-0.0008274601152952307
27,0.0005347118778560708,0.0013832692825763199,0.0006683898473200887,0.0027665385651526398,6.299973538275233e-05,3.7989453304166995e-05,-0.0002673559389280354,-0.00041498078477289593,-0.00036476976690210435,-0.001068625972756889,-0.000255338836831473,-0.0007480381809298223
28,0.0004545050961776602,0.0012449423543186879,0.0005681313702220754,0.0024898847086373757,5.039978830620187e-05,3.0391562643333597e-05,-0.0002272525480888301,-0.0003734827062956063,-0.00031320428863592634,-0.0009655623208116169,-0.0002192430020451484,-0.0006758936245681318
29,0.00038632933175101114,0.001120448118886819,0.00048291166468876403,0.002240896237773638,4.0319830644961496e-05,2.4313250114666878e-05,-0.00019316466587550557,-0.0003361344356660457,-0.00026874363475584744,-0.0008720452449947883,-0.0001881205443290932,-0.0006104316714963518
30,0.00032837993198835943,0.0010084033069981371,0.0004104749149854494,0.0020168066139962743,3.22558645159692e-05,1.9450600091733505e-05,-0.00016418996599417972,-0.00030252099209944114,-0.00023044808107471835,-0.0007872720455067762,-0.00016131365675230283,-0.0005510904318547433
31,0.00027912294219010553,0.0009075629762983234,0.000348903677737632,0.0018151259525966469,2.580469161277536e-05,1.5560480073386806e-05,-0.00013956147109505277,-0.00027226889288949703,-0.00019749366213930907,-0.0007104899009652719,-0.00013824556349751634,-0.0004973429306756903
32,0.0002372545008615897,0.0008168066786684911,0.00029656812607698716,0.0016336133573369822,2.064375329022029e-05,1.2448384058709445e-05,-0.00011862725043079485,-0.0002450420036005473,-0.00016915984739905148,-0.0006409969588760835,-0.00011841189317933602,-0.0004486978712132584
33,0.00020166632573235125,0.000735126010801642,0.00025208290716543906,0.001470252021603284,1.6515002632176232e-05,9.958707246967556e-06,-0.00010083316286617563,-0.0002205378032404926,-0.00014481805795370478,-0.0005781421013943461,-0.00010137264056759334,-0.00040469947097604225
34,0.00017141637687249857,0.0006616134097214778,0.00021427047109062318,0.0013232268194429556,1.3212002105740986e-05,7.966965797574046e-06,-8.570818843624928e-05,-0.00019848402291644334,-0.0001239210993922579,-0.0005213237619796082,-8.674476957458052e-05,-0.0003649266333857257
35,0.00014570392034162378,0.00059545206874933,0.0001821299004270297,0.00119090413749866,1.056960168459279e-05,6.373572638059237e-06,-7.285196017081189e-05,-0.000178635620624799,-0.00010599353458870624,-0.00046998808236140477,-7.419547421209436e-05,-0.00032899165765298334
36,0.0001238483322903802,0.000535906861874397,0.00015481041536297526,0.001071813723748794,8.455681347674232e-06,5.0988581104473896e-06,-6.19241661451901e-05,-0.00016077205856231908,-9.062298448462994e-05,-0.00042362663138907023,-6.343608913924096e-05,-0.00029653864197234914
37,0.00010527108244682317,0.00048231617568695733,0.00013158885305852895,0.0009646323513739147,6.764545078139386e-06,4.079086488357912e-06,-5.263554122341159e-05,-0.0001446948527060872,-7.745232087931916e-05,-0.00038177385406120795,-5.4216624615523404e-05,-0.00026724169784284556
38,8.94804200797997e-05,0.0004340845581182616,0.0001118505250997496,0.0008681691162365232,5.4116360625115085e-06,3.2632691906863296e-06,-4.474021003989985e-05,-0.00013022536743547848,-6.617270000132825e-05,-0.000344004377303923,-4.6320890000929776e-05,-0.00024080306411274608
39,7.605835706782974e-05,0.00039067610230643547,9.507294633478716e-05,0.0007813522046128709,4.329308850009207e-06,2.610615352549064e-06,-3.802917853391487e-05,-0.00011720283069193064,-5.651737680425459e-05,-0.0003099302664925993,-3.9562163762978206e-05,-0.0002169511865448195
