quarter,employment_monetary,employment_productivity,employment_baseline,output_monetary,output_productivity,output_baseline,vacancies_monetary,vacancies_productivity,vacancies_baseline,separation_rate_monetary,separation_rate_productivity,separation_rate_baseline,tightness_monetary,tightness_productivity,tightness_baseline,job_finding_monetary,job_finding_productivity,job_finding_baseline
10,0.036412564472913855,-0.05241525831976945,-0.05241525831976945,-0.03563681587502143,-0.028720839129260378,-0.040695963400249724,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,40.2821530934939,6.782290289638426,6.782290289638426,7.904240162468157,2.1444520055073983,2.1444520055073983
11,-0.2919312244099892,-0.08162484688104599,-0.08162484688104599,-0.2685169807644825,-0.056898288796598084,-0.06847932286244973,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.7281649882529457,4.947608614055728,4.947608614055728,0.304555353813057,1.66417985592804,1.66417985592804
12,0.04067484286363743,-0.05576217983103671,-0.05576217983103671,-0.03192939114285165,-0.03194949509702327,-0.04387946334049142,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,49.63272236687005,6.525100591464541,6.525100591464541,9.107308289866264,2.079697015184216,2.079697015184216
13,-0.30719557837257694,-0.07836384592023093,-0.07836384592023093,-0.28303601557427305,-0.05375251732344821,-0.06537754819312025,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.6100450572445744,5.114022226500161,5.114022226500161,0.2574874772121918,1.7096541776325804,1.7096541776325804
14,0.04436732041260105,-0.058385036526220846,-0.058385036526220846,-0.028717591881263438,-0.034479671527209876,-0.046374252687738426,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,61.855260551457384,6.333714200016424,6.333714200016424,10.555491435515904,2.031008201506766,2.031008201506766
15,-0.32236402658933305,-0.07586771814445492,-0.07586771814445492,-0.2974638274691861,-0.05134459176785122,-0.063003299918021,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.502009508122657,5.246800771740313,5.246800771740313,0.21371774873251015,1.7456376524545851,1.7456376524545851
16,0.047761208465586735,-0.06043341745997677,-0.06043341745997677,-0.02576551241755698,-0.0364556716526262,-0.048322616447764255,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,79.59411412805143,6.190043932017496,6.190043932017496,12.473002606711974,1.9941678717635358,1.9941678717635358
17,-0.33856113961571144,-0.07395329823277086,-0.07395329823277086,-0.3128700771162056,-0.049497819068863635,-0.061182356207830524,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.39572606035969304,5.351989089457014,5.351989089457014,0.16994625708895494,1.7739600729545881,1.7739600729545881
18,0.050000000000000044,-0.062029082838047644,-0.062029082838047644,-0.023818161647855773,-0.037994953206770044,-0.04984036958856353,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,6.081468525403436,6.081468525403436,14.282265253516323,1.9661572480102183,1.9661572480102183
19,-0.3509266807981699,-0.07248266063969089,-0.07248266063969089,-0.32463184071983064,-0.04807914736552987,-0.059783526066781056,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.434858301687102,5.434858301687102,0.13840012384960976,1.7961607152829469,1.7961607152829469
20,0.050000000000000044,-0.06326972901594485,-0.06326972901594485,-0.023818161647855773,-0.03919176038395222,-0.05102043820382707,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.998992418419019,5.998992418419019,14.282265253516323,1.9447804734869607,1.9447804734869607
21,-0.3509266807981699,-0.07135146921564006,-0.07135146921564006,-0.32463184071983064,-0.04698792729070922,-0.0587075678111888,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.499862607892073,5.499862607892073,0.13840012384960976,1.8135071937580192,1.8135071937580192
22,0.050000000000000044,-0.06423296752703656,-0.06423296752703656,-0.023818161647855773,-0.040120962265964066,-0.051936644255321074,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.9360938824344425,5.9360938824344425,14.282265253516323,1.9284194772063838,1.9284194772063838
23,-0.3509266807981699,-0.07048047697612958,-0.07048047697612958,-0.32463184071983064,-0.046147712101167526,-0.057879103883039185,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.55068250890239,5.55068250890239,0.13840012384960976,1.8270273168849174,1.8270273168849174
24,0.050000000000000044,-0.0649800194041028,-0.0649800194041028,-0.023818161647855773,-0.040841616602493414,-0.05264721951022078,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.887979677452287,5.887979677452287,14.282265253516323,1.9158695953421059,1.9158695953421059
25,-0.3509266807981699,-0.06980928537711795,-0.06980928537711795,-0.32463184071983064,-0.045500237472806515,-0.057240684843886,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.59030987590993,5.59030987590993,0.13840012384960976,1.8375449112800932,1.8375449112800932
26,0.050000000000000044,-0.06555892991233947,-0.06555892991233947,-0.023818161647855773,-0.04140007094954834,-0.053197863306967186,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.851088438638421,5.851088438638421,14.282265253516323,1.9062266016875877,1.9062266016875877
27,-0.3509266807981699,-0.06929172962076613,-0.06929172962076613,-0.32463184071983064,-0.04500096986949709,-0.05674840000425929,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.621147480726125,5.621147480726125,0.13840012384960976,1.8457146281368029,1.8457146281368029
28,0.050000000000000044,-0.06600726267280543,-0.06600726267280543,-0.023818161647855773,-0.04183256159438398,-0.05362430513159533,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.822751215400619,5.822751215400619,14.282265253516323,1.8988074024923918,1.8988074024923918
29,-0.3509266807981699,-0.0688924420475745,-0.0688924420475745,-0.32463184071983064,-0.04461579136988214,-0.05636860861652704,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.645107523910715,5.645107523910715,0.13840012384960976,1.8520533015410245,1.8520533015410245
30,0.050000000000000044,-0.06635430448135216,-0.06635430448135216,-0.023818161647855773,-0.04216734046579029,-0.05395440178102395,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.80095424276537,5.80095424276537,14.282265253516323,1.8930933468443116,1.8930933468443116
31,-0.3509266807981699,-0.06858427610129092,-0.06858427610129092,-0.32463184071983064,-0.0443185146580799,-0.05607548962097386,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.663701374164431,5.663701374164431,0.13840012384960976,1.8569669442775012,1.8569669442775012
32,0.050000000000000044,-0.0666228413414438,-0.0666228413414438,-0.023818161647855773,-0.04242638840969348,-0.054209826676760664,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.784169997767926,5.784169997767926,14.282265253516323,1.8886890819903799,1.8886890819903799
33,-0.3509266807981699,-0.06834636426233998,-0.06834636426233998,-0.32463184071983064,-0.04408900958123696,-0.055849194405345526,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.678117369024284,5.678117369024284,0.13840012384960976,1.8607733065183714,1.8607733065183714
34,0.050000000000000044,-0.06683057351028876,-0.06683057351028876,-0.023818161647855773,-0.04262678023375632,-0.05440741581796937,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.771234958712744,5.771234958712744,14.282265253516323,1.885292311797418,1.885292311797418
35,-0.3509266807981699,-0.06816264676692385,-0.06816264676692385,-0.32463184071983064,-0.04391178385725125,-0.05567444736281424,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.689286142367126,5.689286142367126,0.13840012384960976,1.8637203443562018,1.8637203443562018
36,0.050000000000000044,-0.066991234185378,-0.066991234185378,-0.023818161647855773,-0.04278176386443444,-0.05456023184542136,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.761259982078287,5.761259982078287,14.282265253516323,1.8826713381218594,1.8826713381218594
37,-0.3509266807981699,-0.06802075245512096,-0.06802075245512096,-0.32463184071983064,-0.04377490346879531,-0.05553948138538545,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.697934290950506,5.697934290950506,0.13840012384960976,1.8660011209503355,1.8660011209503355
38,0.050000000000000044,-0.06711546892117481,-0.06711546892117481,-0.023818161647855773,-0.04290160868893467,-0.05467840051853001,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,97.88670067203907,5.7535638787014385,5.7535638787014385,14.282265253516323,1.880648241794742,1.880648241794742
39,-0.3509266807981699,-0.06791114464372305,-0.06791114464372305,-0.32463184071983064,-0.04366916871726567,-0.055435225441569536,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.3202248635743361,5.704627782894209,5.704627782894209,0.13840012384960976,1.86776570252103,1.86776570252103
